Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
DNK,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Transportation services,24.128521638769268,11.242218496724409,Yes
TWN,East Asia,No,Carbon neutral(ity),2050.0,Declaration / pledge,Emissions reduction target,2025.0,Not Specified,Yes,Yes,No,Less than annual reporting,Not Specified,Not Specified,No,No,No,No,Materials,22.856366622066464,6.467698726104354,Not Specified
JPN,East Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,25.228405720870477,12.732184832153814,Yes
IRL,Europe,No,Net zero,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Services,24.931251535672438,13.559328444560693,Yes
USA,North America,No,No target,2040.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,23.95426784165197,11.457106154131509,Not Specified
FRA,Europe,No,Net zero,2045.0,In corporate strategy,Net zero or similar,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,No,Yes,No,Not Specified,No,Yes,"Biotech, health care & pharma",10.701850238240384,11.345547691561876,Yes
IND,South Asia,No,Carbon neutral(ity),2032.0,Declaration / pledge,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,22.435621283567638,10.297622044301908,Yes
USA,North America,No,Net negative,2030.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (unspecified),Yes,Yes,Services,22.294378635266657,8.573573524852344,Yes
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.424567811083595,11.05865344255235,Partial
DEU,Europe,No,Climate neutral,2040.0,Achieved (externally validated),Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,No,Manufacturing,23.702563804087806,11.653174245342274,Partial
USA,North America,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Infrastructure,22.82005601708371,9.131838143821225,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,Emissions reduction target,2026.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Food, beverage & agriculture",25.112392208747927,11.23850177707664,Yes
FIN,Europe,No,Carbon neutral(ity),2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Fossil Fuels,23.828793776368087,8.60922527686273,No
USA,North America,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,No reporting mechanism,Not Specified,Yes,No,No,No,No,Services,22.141301084092554,6.113682179832232,No
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.732687194053504,9.814492390964565,No
USA,North America,No,Carbon neutral(ity),2050.0,Achieved (self-declared),Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Yes,No,Not Specified,No,Yes,Manufacturing,22.077037006619005,9.758519582283522,Yes
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,No,No reporting mechanism,No,No,No,No,No,No,Services,25.949786404680136,13.022010303557042,No
JPN,East Asia,No,Zero emissions,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,23.020838388217417,10.20374028216176,Yes
USA,North America,No,Emissions intensity target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Hospitality,23.13685548807286,12.10625783509458,No
AUT,Europe,No,Emissions reduction target,2025.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,21.35187449690212,8.10349427838097,No
DEU,Europe,No,Carbon neutral(ity),2045.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Infrastructure,22.79391887271927,9.397400683117311,Partial
FRA,Europe,No,Net zero,2038.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Manufacturing,25.316363441710354,10.833424746444134,Yes
HKG,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,No,No,No,Infrastructure,23.07511717133857,10.77325255447335,Not Specified
GBR,Europe,No,Net zero,2040.0,In corporate strategy,Net zero or similar,2025.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,No,Yes,Services,21.05973807428191,8.193400231952097,Yes
THA,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Biotech, health care & pharma",21.716517610327063,10.161805178857993,No
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Yes,No,Yes (nature-based and CCS-based removals),Yes,Yes,Services,25.197598142415718,12.237876498573703,Yes
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,No,No,Yes,Annual reporting,Yes,No,No,Not Specified,No,Yes,Services,22.506657056672015,8.804175018753625,Partial
USA,North America,No,Science-based target,2030.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,No,Not Specified,No,No,No,Yes,Materials,24.592485720070123,11.282266241614355,Partial
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,No,Yes,Not Specified,Yes,No,Services,22.801581745463878,6.530877627725885,Yes
USA,North America,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Infrastructure,23.502395619791667,10.839600519357369,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,Yes,Transportation services,24.779164052799867,11.583393248239855,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,24.28215049447263,10.034296492647542,Not Specified
USA,North America,No,Zero emissions,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Manufacturing,24.595507972383523,11.235866764155578,Partial
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Materials,9.524493961633755,10.491301994830229,Yes
JPN,East Asia,No,Climate neutral,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,24.1671075516928,10.537256209576572,Partial
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,No,Not Specified,No,No,No,No,Services,8.153637486385282,8.528528701079983,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Power generation,23.860020128255712,9.904237271426673,Yes
CHN,East Asia,No,No target,2025.0,Proposed / in discussion,No target,2023.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,Manufacturing,22.645415032011243,10.141086124819923,Not Specified
IRL,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Manufacturing,23.71086512732062,10.714439990727769,No
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",Yes,No,Services,25.89968671920217,12.653185007538378,Partial
DEU,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,Yes,Materials,23.8738199936346,10.76111049674444,Yes
CHN,East Asia,No,Other,2050.0,Declaration / pledge,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.54166723728317,8.70167907103957,Not Specified
USA,North America,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,"Biotech, health care & pharma",25.29079645911593,11.936237039973754,Yes
HKG,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Other,2035.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.59873457471698,9.392745258631441,Yes
USA,North America,No,Emissions intensity target,2035.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,21.895438329032242,9.082620630373812,No
USA,North America,Yes,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",23.19980423714793,10.690102307253893,Not Specified
USA,North America,No,Net zero,2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Manufacturing,24.32876368214847,11.407576060361786,No
JPN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,22.820178859661088,8.952217101765946,Not Specified
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Less than annual reporting,Not Specified,Not Specified,No,No,No,No,Services,20.818576017659826,8.154500175151941,Not Specified
NOR,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,8.913684824725294,9.305741456739435,Partial
USA,North America,No,Emissions intensity target,2030.0,In corporate strategy,Absolute emissions target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Materials,23.5510527197101,9.99884318585288,Yes
USA,North America,No,Net zero,2023.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Infrastructure,23.55647918106145,10.8846292567299,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,Other,2028.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,Services,23.924954810432485,9.525224101853109,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2031.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,No,No,No,No,No,Manufacturing,24.192620185299987,11.681486106514146,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,24.62118991801534,10.645353466142934,Yes
CAN,North America,No,Net zero,2050.0,Declaration / pledge,Net zero or similar,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Fossil Fuels,22.862037044820042,8.881975184248867,Yes
JPN,East Asia,No,Net zero,2051.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.93410949015767,9.399058096275375,No
JPN,East Asia,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,No,Yes,No,Retail,22.390972657693165,10.529773516588858,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,No,Services,10.42088155718015,10.890926165528413,No
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Power generation,23.881627033991116,10.253263754783704,Not Specified
USA,North America,Yes,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Fossil Fuels,23.74855691279049,9.635804166591036,Not Specified
USA,North America,No,Absolute emissions target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,No reporting mechanism,Yes,Not Specified,No,Not Specified,No,No,Retail,22.05826690394191,9.012011377036412,Partial
USA,North America,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,No,Materials,24.475824067746988,10.491301994830229,Yes
AUS,Oceania,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",24.10300121534329,11.652696102959753,Partial
AUS,Oceania,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Services,21.31714501639987,8.445267451844648,Yes
CHN,East Asia,No,Net zero,2050.0,Declaration / pledge,Other,2023.0,Not Specified,Not Specified,Not Specified,Yes,No reporting mechanism,Not Specified,Not Specified,No,Yes (unspecified),No,No,Materials,22.94842978307992,10.136977395904482,Not Specified
CHN,East Asia,No,Carbon neutral(ity),2035.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,24.759257154172616,11.13775190029194,Yes
HKG,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,Yes,No,No,No,"Food, beverage & agriculture",23.347934429182033,11.896035892061596,Partial
